GF_ID,Year_approx,Year_exact,Month,Day,Lake_name,Glacier_name,GL_ID,LakeDB_ID,G_ID,Lat_lake,Lon_lake,Elev_lake,Lat_impact,Lon_impact,Elev_impact,Impact_type,Lake_type,Transboundary,Repeat,Region_RGI,Region_HiMAP,Country,Province,River_Basin,Driver_lake,Driver_GLOF,Mechanism,Area,Volume,Discharge_water,Discharge_solid,Impact,Lives_total,Lives_male,Lives_female,Lives_disabilities,Injured_total,Injured_male,Injured_female,Injured_disabilities,Displaced_total,Displaced_male,Displaced_female,Displaced_disabilities,Livestock,Residential_destroyed,Commerical_destroyed,Residential_damaged,Commerical_damaged,Infra,Agricultural,Hydropower,Econ_damage,Sat_evidence,Ref_scientific,Ref_scientific_full,Ref_other,Remarks
702,2005,2005,NA,NA,Unnamed,Unnamed,Ephemeral,NA,NA,29.44416667,97.43722222,4818,NA,NA,NA,NA,Moraine dammed,N,N,,,China,TAR,,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,(This study),,,
418,2006,2006,7,30,Merzbacher,Southern Inylshek,GL079841E42200N,2,G080193E42063N,42.196,79.847,3271,NA,NA,NA,NA,Ice dammed,N,Y,13_3,3,Kyrgyzstan,,Inylchek,Unknown,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Kingslake and Ng, 2013)","Kingslake, J., Ng, F., 2013. Quantifying the predictability of the timing of jökulhlaups from Merzbacher Lake, Kyrgyzstan. Journal of Glaciology 59, 805–818. https://doi.org/10.3189/2013JoG12J156",,
416,2006,2006,NA,NA,Kashka-Suu,Kashka-Suu,Not mapped,NA,G076993E41856N,41.85897,76.99497,3872,41.866,77.043,3018,Deposit,Moraine dammed,N,N,13_3,4,Kyrgyzstan,,,Unknown,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Narama et al., 2018)","Narama, C., Daiyrov, M., Duishonakunov, M., Tadono, T., Sato, H., Kääb, A., Ukita, J., Abdrakhmatov, K., 2018. Large drainages from short-lived glacial lakes in the Teskey Range, Tien Shan Mountains, Central Asia. Natural Hazards and Earth System Sciences 18, 983–995. https://doi.org/10.5194/nhess-18-983-2018",,
417,2006,2006,NA,NA,Unknown,Phyang,No lake,NA,G077557E34281N,34.283109,77.565699,5350,NA,NA,NA,NA,Moraine dammed,Y,N,14_2,10,India,Ladakh,Indus,Unknown,Unknown,Ice core thawing,,,,,,,,,,,,,,,,,,,,,,,,,,,,(This study),,https://cdn.cseindia.org/userfiles/TM_Presentation.pdf,
419,2006,2006,6,NA,Unknown,Halji,Ephemeral,NA,G081470E30264N,30.27,81.475,5347,30.219,81.514,3706,Observation,Supraglacial,Y,Y,15_1,11,Nepal,Karnali,Humla,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Kropacek et al., 2015)","Kropácek, J., Neckel, N., Tyrna, B., Holzer, N., Hovden, A., Gourmelen, N., Schneider, C., Buchroithner, M., Hochschild, V., 2015. Repeated glacial lake outburst flood threatening the oldest Buddhist monastery in north-western Nepal. Natural Hazards and Earth System Sciences 15, 2425–2437. https://doi.org/10.5194/nhess-15-2425-2015",,
422,2007,2007,7,11,Merzbacher,Southern Inylshek,GL079841E42200N,2,G080193E42063N,42.196,79.847,3271,NA,NA,NA,NA,Ice dammed,N,Y,13_3,3,Kyrgyzstan,,Inylchek,Unknown,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Kingslake and Ng, 2013)","Kingslake, J., Ng, F., 2013. Quantifying the predictability of the timing of jökulhlaups from Merzbacher Lake, Kyrgyzstan. Journal of Glaciology 59, 805–818. https://doi.org/10.3189/2013JoG12J156",,
424,2007,2007,8,10,Lang Co,Unnamed,GL091807E27828N,"2, 3, 4",No glacier,27.828,91.807,4294,27.821,91.755,2437,Observation,Moraine dammed,Y,N,15_2,12,China,TAR,Yarlung Tsangpo,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,Bridge destroyed,,,,,"(Liu et al., 2014)","Liu, J.-J., Cheng, Z.-L., Li, Y., 2014. The 1988 glacial lake outburst flood in Guangxieco Lake, Tibet, China. Natural Hazards and Earth System Sciences 14, 3065–3075",,
421,2007,2007,8,5,Ghulkin,Ghulkin,Ephemeral,NA,G074783E36426N,36.420236,74.858404,2692,NA,NA,NA,NA,Supraglacial,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Hunza,Unknown,Intense rainfall,Unknown,, , , , , , , , ,,,,,,,, , , , ,,, ,, , ,,"(Din et al., 2014)","Din, K., Tariq, S., Mahmood, A., Rasul, G., 2014. Temperature and Precipitation: GLOF Triggering Indicators in Gilgit-Baltistan, Pakistan. Pakistan Journal of Meteorology 10, 20.",,
423,2007,2007,6,NA,Unknown,Halji,Ephemeral,NA,G081470E30264N,30.27,81.475,5347,30.219,81.514,3706,Observation,Supraglacial,Y,Y,15_1,11,Nepal,Karnali,Humla,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Kropacek et al., 2015)","Kropácek, J., Neckel, N., Tyrna, B., Holzer, N., Hovden, A., Gourmelen, N., Schneider, C., Buchroithner, M., Hochschild, V., 2015. Repeated glacial lake outburst flood threatening the oldest Buddhist monastery in north-western Nepal. Natural Hazards and Earth System Sciences 15, 2425–2437. https://doi.org/10.5194/nhess-15-2425-2015",,
420,2007,2007,NA,NA,Unknown,Sonoghore,Ephemeral,NA,G072417E36225N,36.226,72.416,3779,36.27,72.402,2260,Observation,Water pocket,Y,N,14_1,8,Pakistan,Khyber Pakhtunkhwa,Chitral,Unknown,Unknown,Unknown,,,,,,,,,,,,,,500,,,,,15,3,,,,,,,,"(Haq, 2007)","Haq, A., 2007. Community Response to Climatic Hazards in Northern Pakistan. Mountain Research and Development 27, 308–312. https://doi.org/10.1659/mrd.0947",,100 families displaced in total with event in Brep 2005
