GF_ID,Year_approx,Year_exact,Month,Day,Lake_name,Glacier_name,GL_ID,LakeDB_ID,G_ID,Lat_lake,Lon_lake,Elev_lake,Lat_impact,Lon_impact,Elev_impact,Impact_type,Lake_type,Transboundary,Repeat,Region_RGI,Region_HiMAP,Country,Province,River_Basin,Driver_lake,Driver_GLOF,Mechanism,Area,Volume,Discharge_water,Discharge_solid,Impact,Lives_total,Lives_male,Lives_female,Lives_disabilities,Injured_total,Injured_male,Injured_female,Injured_disabilities,Displaced_total,Displaced_male,Displaced_female,Displaced_disabilities,Livestock,Residential_destroyed,Commercial_destroyed,Residential_damaged,Commercial_damaged,Infra,Agricultural,Hydropower,Econ_damage,Ref_scientific,Ref_other,Removal_reason,Certainty
R97,1978,1978,8,8,Merzbacher,Inilchek,NA,NA,NA,42.196,79.847,3271,NA,NA,NA,NA,Ice Dammed,NA,NA,,,Kyrgyzstan,,Inylchek,Unknown,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,"Merzbacher drainages not noted in Glazirin, 2010 or Glazirin, 1986 and close to dates observed therein are considered duplicates - likely confusion of dates or subsequent high flows after a previous GLOF event",1
R98,1977,1977,7,12,No 17,Zharsay,NA,NA,NA,43.152,77.408,3380,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Esik,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'probably a GLOF'; possibly a mix up of dates as there was an event on 1977/7/3",1
R99,1978,7,7,19,Unknown,No 62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Aksy,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'probably a GLOF'; No coordinates",1
R100,1979,1979,6,20,No 5,Kalesnika,NA,NA,NA,43.015923,77.114213,2416,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Talgar,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'probably a GLOF'",1
R101,1979,1979,8,2,No 50,Sovetov,NA,NA,NA,43.015885,77.024342,3480,NA,NA,NA,NA,Moraine dammed,NA,NA,,,Kazakhstan,,Ulken Almaty,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Medeu et al., 2016)",,"Unclear if really a GLOF, just noted as 'likely a GLOF'; however in the topography a lake is unlikely",1
R102,2011,2011,8,NA,Unnamed (Ghunsa 2),Unnamed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,N,N,15-02,12,Nepal,Province No. 1,Tamor,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Byers et al., 2020)",,"Unclear evidence, no coordinates",0
R103,1961,1961,7,28,Unnamed,No 203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moraine dammed,NA,NA,13-02,6,Tajikistan,,Vanch,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,No coordinates to verify,1
R104,1962,1962,8,1,Unnamed,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moraine dammed,NA,NA,13-02,6,Tajikistan,,Gargvindara,Unknown,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,No coordinates to verify,1
R105,1977,1977,NA,NA,Unnamed,Bol'shoy Saukdara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moraine dammed,NA,NA,13-02,6,Tajikistan,,Severnyy Zulumart,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,No coordinates to verify,1
R106,1978,1978,8,NA,Unnamed,No 8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moraine dammed,NA,NA,13-02,6,Tajikistan,,Vovzitdara (Murgaba),Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,(Veh et al. 2022),,No coordinates to verify,1
