GF_ID,Year_approx,Year_exact,Month,Day,Lake_name,Glacier_name,GL_ID,LakeDB_ID,G_ID,Lat_lake,Lon_lake,Elev_lake,Lat_impact,Lon_impact,Elev_impact,Impact_type,Lake_type,Transboundary,Repeat,Region_RGI,Region_HiMAP,Country,Province,River_Basin,Driver_lake,Driver_GLOF,Mechanism,Area,Volume,Discharge_water,Discharge_solid,Impact,Lives_total,Lives_male,Lives_female,Lives_disabilities,Injured_total,Injured_male,Injured_female,Injured_disabilities,Displaced_total,Displaced_male,Displaced_female,Displaced_disabilities,Livestock,Residential_destroyed,Commerical_destroyed,Residential_damaged,Commerical_damaged,Infra,Agricultural,Hydropower,Econ_damage,Ref_scientific,Ref_other,Remarks
GF074079E36622N_5,1904,1904,NA,NA,Karambar ,Karambar,GL074079E36622N,"1, 2, 4",G074224E36616N,36.6214,74.07906,2935,NA,NA,NA,NA,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Hunza,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Bazai et al., 2021)",,
GF074079E36622N_10,1994,1994,NA,NA,Karambar ,Karambar,GL074079E36622N,"1, 2, 4",G074224E36616N,36.6214,74.07906,2935,NA,NA,NA,NA,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Gilgit,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Hewitt and Liu, 2010)",,
GF074079E36622N_0,1844,1844,NA,NA,Karambar ,Karambar,GL074079E36622N,"1, 2, 4",G074224E36616N,36.6214,74.07906,2935,NA,NA,NA,NA,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Gilgit,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Hewitt, 1982; Iturrizaga, 2005a)",,
GF074079E36622N_1,1860,1860,NA,NA,Karambar ,Karambar,GL074079E36622N,"1, 2, 4",G074224E36616N,36.6214,74.07906,2935,NA,NA,NA,NA,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Gilgit,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Hewitt, 1982; Iturrizaga, 2005a)",,
GF074079E36622N_8,1929,1929,NA,NA,Karambar ,Karambar ,GL074079E36622N,"1, 2, 4",G074224E36616N,36.6214,74.07906,2935,NA,NA,NA,NA,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Gilgit,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Iturrizaga, 2005a)",,
GF074079E36622N_3,1893,1893,7,6,Karambar ,Karambar,GL074079E36622N,"1, 2, 4",G074224E36616N,36.6214,74.07906,2935,35.926146,74.266804,1470,Observation,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Gilgit,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,two bridges at Gilgit destroyed,,,,"(Iturrizaga, 2005a) ",,"Water rise at 11.20 p.m. on 6th July, reached 23 feet above high-flood level at Gilgit, subside at 3 a.m. on 7th July"
GF074079E36622N_9,1955,1955,NA,NA,Karambar ,Karambar,GL074079E36622N,"1, 2, 4",G074224E36616N,36.6214,74.07906,2935,NA,NA,NA,NA,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Gilgit,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Iturrizaga, 2005a; Hewitt and Liu, 2010)",,
GF074079E36622N_4,1895,1895,6,NA,Karambar ,Karambar,GL074079E36622N,"1, 2, 4",G074224E36616N,36.6214,74.07906,2935,NA,NA,NA,NA,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Gilgit,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Kreutzmann, 1994; Iturrizaga, 2005a)",,
GF074079E36622N_7,1916,1916,NA,NA,Karambar ,Karambar,GL074079E36622N,"1, 2, 4",G074224E36616N,36.6214,74.07906,2935,NA,NA,NA,NA,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Gilgit,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Longstaff, 1920; Hewitt, 1982)",,
GF074079E36622N_2,1865,1865,NA,NA,Karambar ,Karambar,GL074079E36622N,"1, 2, 4",G074224E36616N,36.6214,74.07906,2935,35.926146,74.266804,1470,Observation,Ice dammed,N,Y,14-02,9,Pakistan,Gilgit - Baltistan,Gilgit,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Todd, 1930; Iturrizaga, 2005a)",,
